baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G45573	99.9030168996802	-1.8389563675367	0.51537877376659	-3.5681647385221	0.000359490463147782	0.0374495915273505
AT5G47175	363.710587883953	-1.26437634039983	0.353209603607487	-3.5796771307637	0.00034401899510093	0.0364277891479096
AT5G47280	81.8110775247218	-1.85360320889249	0.464915103426442	-3.98697137441086	6.69220962713077e-05	0.0138868746706211
AT5G48110	4631.87544810163	-1.54655256533895	0.316347663369373	-4.8887750548458	1.0146535546228e-06	0.000639097110109665
AT5G51470	818.308634749451	-1.03879788492537	0.215898437078186	-4.81151183391466	1.49792863474431e-06	0.000896353527921068
AT5G56400	108.559403731355	-1.24281978061036	0.292900058100992	-4.2431530695765	2.20400991501138e-05	0.00681225496482302
AT5G65165	395.090354453053	-1.08632663711405	0.18955744315204	-5.73085719584607	9.99243667215377e-09	2.85683764456876e-05
AT5G66650	8207.00146946438	-1.05170666453396	0.291397353315086	-3.60918399762113	0.000307161692760072	0.0346648136684623
AT5G66660	211.999209844348	-1.18388938549082	0.2363837541903	-5.00833650580628	5.49024841725233e-07	0.000417327166703131
AT3G02480	305.431738512647	-1.33421657922328	0.20850627820869	-6.39892760393474	1.56472005309613e-10	2.01309058431082e-06
AT3G07255	193.518038917375	-1.05488314314962	0.279053657570237	-3.78021615030834	0.000156692266994131	0.0237167571883882
AT3G10950	37.0231681745394	-1.53767162274654	0.420824719092823	-3.65394795738547	0.000258238632753031	0.0312298033622476
AT3G13280	602.220951321247	-1.27674651873181	0.246226200418055	-5.18525858159727	2.15715355345512e-07	0.000231273825349807
AT3G14540	612.287207758151	-1.57280076733253	0.276573886768684	-5.68672908967709	1.29495634675408e-08	3.33205217583292e-05
AT3G15670	95.1377989687605	-1.52035890280985	0.40684523109569	-3.73694659936241	0.0001862684632611	0.0265968593114178
AT3G19560	78.8788014055608	-1.07980161932151	0.275497347724177	-3.9194628487044	8.87465393600263e-05	0.016577463697811
AT3G19610	71.2450500817075	-1.41341672455867	0.39213922659335	-3.60437474423948	0.000312905306788998	0.0347041657283953
AT3G20840	879.910650662856	-1.06516453089794	0.21450292392904	-4.96573431908234	6.8441599529989e-07	0.000489186332640596
AT3G24310	1236.55322964594	-1.36943789277555	0.300330011210625	-4.55977705076948	5.12079575751357e-06	0.00244005917845522
AT3G28740	4752.48308057325	-1.64463857218077	0.444473059895919	-3.70019855098954	0.000215430847814425	0.0287475136772352
AT3G46613	64.5796909217456	-2.0777468187615	0.406027179906663	-5.11726042389363	3.10005452121421e-07	0.000295435195871714
AT3G07675	103.283251112139	1.09711098818185	0.292678727733773	3.74851632257951	0.000177883762558238	0.0258594751095255
AT3G51680	1435.03427011647	-1.15585257471424	0.195308446286691	-5.91808801252546	3.25705673805102e-09	1.51826348725725e-05
AT3G55240	2121.97801342657	1.27270568662736	0.35020456841774	3.63417785318328	0.000278868452068783	0.0328344683095955
AT3G58480	92.2317446080636	-1.01629222591517	0.272038587692866	-3.73583848723171	0.000187090728512947	0.0265968593114178
AT3G63350	475.118630959434	-1.69458423644403	0.294571125758741	-5.7527167066331	8.78205832040001e-09	2.82463928302766e-05
AT2G03360	83.3994616306027	1.03411156780502	0.268098080356905	3.85721362282177	0.00011468692515687	0.019543107756367
AT2G05520	163890.068005737	1.04045385158222	0.248608895776805	4.18510306451912	2.8503674423948e-05	0.00833440962048414
AT2G16005	853.624231935773	-2.22400838297541	0.621226364172578	-3.58002897371814	0.000343556111799597	0.0364277891479096
AT2G21820	92.0678565177914	-1.54855961642478	0.360223470054708	-4.2988859559584	1.71658767165485e-05	0.00573630095835726
AT2G23800	1941.77931132458	-1.11794181221646	0.281242179533593	-3.97501475088281	7.03748941564823e-05	0.0141748114004863
AT2G27120	60.8950231151344	-1.99012186122973	0.467799106457717	-4.25422330602423	2.09775876556563e-05	0.00662200738398911
AT2G28340	41.3723137703827	-1.86950362539214	0.507534452938804	-3.68350092208923	0.000230052451360413	0.0297334993248413
AT2G28680	51.1861209883105	-2.3330749140911	0.669275500239927	-3.48597089428005	0.0004903543536329	0.046217244957246
AT2G36950	27096.96937863	-1.15431215750491	0.211037178488112	-5.46970996188682	4.50772632097861e-08	8.47376105964691e-05
AT2G40100	2285.92838241011	1.18729935167973	0.32731853960743	3.62735136574823	0.000286343511072762	0.0333389361240418
AT2G41260	46.034602694132	-5.26243094747281	1.41662488344915	-3.71476670285505	0.000203391254248053	0.0278375551226417
AT2G41445	1552.97528726714	-1.00084315620446	0.255400784423415	-3.91871606214498	8.90219085191138e-05	0.016577463697811
AT2G41450	4788.47008653033	-1.38280795104391	0.271119184502338	-5.10036924750333	3.38991495097542e-07	0.00031152107715553
AT2G41451	570.546776991228	-1.31754695666765	0.338659825525789	-3.89047314549956	0.000100048949356761	0.017831835558447
AT2G42540	264.057310868183	-1.68000750681405	0.477517638065582	-3.51821037149484	0.000434467789321824	0.0429972718732302
AT2G43050	1011.21320074312	1.53532929399469	0.396556918556416	3.8716492441583	0.000108101436035094	0.0186681748363691
AT2G43610	19422.1429792533	-1.00106986051687	0.253229920038804	-3.95320529408007	7.71112227598658e-05	0.0152626836371854
AT2G47770	388.526937175399	-1.35154400037624	0.300934544502906	-4.49115605059156	7.08376241655526e-06	0.0030893608600065
AT2G47780	281.377919446243	-1.32182957467389	0.295262628663228	-4.47679267998913	7.57727661970981e-06	0.00324951507836255
AT4G01780	59.1961602990189	-1.41214706982418	0.402251656633493	-3.51060597647417	0.000447086557474105	0.0436991215823888
AT4G05200	1045.44593428073	1.01161832230239	0.274648774177657	3.68331635679547	0.00023021915500259	0.0297334993248413
AT4G08040	207.934574631269	1.79720913801575	0.4789693944045	3.75224212446853	0.000175260073344763	0.0256228235638301
AT4G17470	664.380092371021	-1.60827993280492	0.404644801837786	-3.97454736969449	7.05132275955948e-05	0.0141748114004863
AT4G21323	772.284250911753	-1.13928318780342	0.226866621548677	-5.02181934048406	5.1184316008426e-07	0.000411569886004003
AT4G23590	1378.15475838215	-1.20712131198688	0.322783017133584	-3.7397299359381	0.000184218069141749	0.0264810901513204
AT4G25410	916.270702801138	-1.34182129616234	0.274509966503804	-4.88806039814129	1.0183429137809e-06	0.000639097110109665
AT4G27670	894.72588023575	-1.48582233839197	0.400776312863607	-3.70736066654127	0.000209430575710052	0.0283624112820808
AT4G28420	324.96306867685	-1.15858780004088	0.217278947778809	-5.33225980650607	9.69980252680734e-08	0.000131360852009095
AT4G31870	514.741578225214	-1.77198436039599	0.453673629899318	-3.90585708230219	9.38919953367714e-05	0.0171342902979466
AT4G32490	180.437416619638	-1.42750145015889	0.350764890865371	-4.06968167947796	4.70774159391035e-05	0.0110897507671396
AT4G32500	514.314050616356	-1.10125122590357	0.317428760822856	-3.4692862204699	0.0005218431865049	0.0478053031798751
AT4G32510	307.975535599041	-1.07519442554476	0.308549050636383	-3.48467909179162	0.000492727598281367	0.0462714373407951
AT4G37800	6259.05027128143	1.15049133102613	0.293748252942779	3.91658952691793	8.98104730166924e-05	0.016577463697811
